股票代码,股票简称,总股本,流通股,总市值,流通市值,行业,上市时间
600518,ST康美,13863866690.0,13612928105.0,30084590717.3,29540053987.85,中药,20010319
300386,飞天诚信,418044000.0,244455625.0,3193856160.0,1867640975.0,软件开发,20140626
600770,综艺股份,1300000000.0,1300000000.0,4745000000.0,4745000000.0,综合行业,19961120
688515,裕太微-U,80000000.0,45772427.0,6174400000.000001,3532715915.86,半导体,20230210
300128,锦富技术,1299115412.0,1093858762.0,5001594336.2,4211356233.7000003,光学光电子,20101013
600198,大唐电信,1309616829.0,880454735.0,8708951912.85,5855023987.75,通信设备,19981021
300287,飞利信,1435273808.0,1295228026.0,4549817971.36,4105872842.42,互联网服务,20120201
300505,川金诺,274867523.0,214388732.0,3298410276.0,2572664784.0,化肥行业,20160315
688609,九联科技,500000000.0,500000000.0,6040000000.0,6040000000.0,通信设备,20210323
000717,中南股份,2423845590.0,2423560965.0,5696037136.5,5695368267.75,钢铁行业,19970508
000008,神州高铁,2716377683.0,2686674473.0,6736616653.84,6662952693.04,交运设备,19920507
002156,通富微电,1516406929.0,1516233639.0,34103991833.21,34100094541.109997,半导体,20070816
001309,德明利,113247800.0,67073058.0,15346209377.999998,9089070089.58,半导体,20220701
601777,力帆科技,4563944301.0,4521100071.0,14513342877.18,14377098225.78,汽车整车,20101125
600715,文投控股,1854853500.0,1854853500.0,5564560500.0,5564560500.0,游戏,19960701
002645,华宏科技,581521225.0,539051620.0,6652602814.0,6166750532.8,环保行业,20111220
600619,海立股份,1077769006.0,789174798.0,6315726375.160001,4624564316.280001,家电行业,19921116
300530,领湃科技,171951354.0,158390550.0,4097600765.8199997,3774446806.4999995,电池,20160809
000546,金圆股份,778781962.0,711531829.0,4182059135.94,3820925921.73,环保行业,19931215
002426,胜利精密,3441517719.0,3150542709.0,6125901539.82,5607966022.02,通用设备,20100608
600966,博汇纸业,1336844288.0,1336844288.0,7553170227.200001,7553170227.200001,造纸印刷,20040608
600811,东方集团,3658744935.0,3658744935.0,5780816997.3,5780816997.3,农牧饲渔,19940106
603863,松炀资源,204650000.0,204650000.0,8417254500.000001,8417254500.000001,造纸印刷,20190621
