股票代码,股票简称,总股本,流通股,总市值,流通市值,行业,上市时间
600588,用友网络,3418521359.0,3416997409.0,43688702968.02,43669226887.02,软件开发,20010518
603659,璞泰来,2137973428.0,2014611522.0,43016025371.36,40533983822.64,电池,20171103
601878,浙商证券,3878194543.0,3878194543.0,42892831645.58,42892831645.58,证券,20170626
605117,德业股份,430080841.0,146228041.0,42586604875.82,14479500619.82,光伏设备,20210420
600398,海澜之家,4802223324.0,4802223324.0,42499676417.4,42499676417.4,纺织服装,20001228
000800,一汽解放,4636485668.0,4622564932.0,42331114148.840004,42204017829.16,汽车整车,19970618
002812,恩捷股份,977755102.0,830337134.0,42092357141.1,35746013618.7,电池,20160914
600061,国投资本,6425307597.0,6425307597.0,41828752456.47,41828752456.47,证券,19970519
600663,陆家嘴,4812931457.0,2933461440.0,41824374361.329994,25491779913.6,房地产开发,19930628
603833,欧派家居,609152447.0,609152447.0,41726942619.5,41726942619.5,装修建材,20170328
601061,中信金属,4900000000.0,501153847.0,41699000000.0,4264819237.97,贸易行业,20230410
600183,生益科技,2354629880.0,2354629880.0,41559217382.0,41559217382.0,电子元件,19981028
601117,中国化学,6109470588.0,6049510588.0,41483305292.52,41076176892.52,工程建设,20100107
002271,东方雨虹,2518464191.0,1995493996.0,41327997374.31,32746056474.36,装修建材,20080910
002078,太阳纸业,2794573119.0,2764880988.0,41080224849.299995,40643750523.6,造纸印刷,20061116
600515,海南机场,11425309602.0,9176012508.0,40902608375.16,32850124778.64,航空机场,20020806
601567,三星医疗,1411197171.0,1394913253.0,40783598241.9,40312993011.7,电网设备,20110615
000423,东阿阿胶,643976824.0,643976824.0,40699335276.8,40699335276.8,中药,19960729
601799,星宇股份,285679419.0,285679419.0,40566477498.0,40566477498.0,汽车零部件,20110201
600219,南山铝业,11708552848.0,11708552848.0,40394507325.6,40394507325.6,有色金属,19991223
603939,益丰药房,1010579797.0,1008116102.0,40382768688.12,40284319435.92,医药商业,20150217
688188,柏楚电子,146334064.0,146334064.0,40149677139.68,40149677139.68,软件开发,20190808
002555,三七互娱,2217864281.0,1608184946.0,40121164843.29,29092065673.14,游戏,20110302
600350,山东高速,4840397627.0,4840397627.0,39642856565.13,39642856565.13,铁路公路,20020318
301308,江波龙,412864254.0,112864254.0,39498723180.18,10797723180.18,半导体,20220805
002600,领益智造,7008177819.0,6893537492.0,39385959342.78,38741680705.04,消费电子,20110715
300450,先导智能,1566163034.0,1451925154.0,39091429328.64,36240051843.840004,电池,20150518
600642,申能股份,4894332526.0,4864938286.0,38861000256.44,38627609990.840004,电力行业,19930416
002128,电投能源,2241573493.0,2113573493.0,38779221428.9,36564821428.9,煤炭行业,20070418
603605,珀莱雅,396757305.0,394800245.0,38116474291.35,37928459537.149994,美容护理,20171115
600418,江淮汽车,2184009791.0,2184009791.0,38045450559.22,38045450559.22,汽车整车,20010824
688082,盛美上海,435707409.0,75864792.0,38019828509.340004,6619961749.92,半导体,20211118
688126,沪硅产业,2747177186.0,2720298399.0,37608855676.34,37240885082.31,半导体,20200420
300759,康龙化成,1787394297.0,1428583385.0,37553154179.97,30014536918.850002,医疗服务,20190128
600685,中船防务,1413506378.0,821435181.0,37288298251.64,21669460074.78,船舶制造,19931028
601958,金钼股份,3226604400.0,3226604400.0,37267280820.0,37267280820.0,小金属,20080417
688777,中控技术,789915088.0,777975778.0,37078614230.72,36518183019.32,软件开发,20201124
000988,华工科技,1005502707.0,1004985657.0,37002499617.6,36983472177.6,电子元件,20000608
001286,陕西能源,3750000000.0,750000000.0,36862500000.0,7372500000.0,电力行业,20230410
300919,中伟股份,669824103.0,665089727.0,36860420388.090004,36599887676.81,电池,20201223
002074,国轩高科,1785300915.0,1323302532.0,36759345839.85,27246799133.88,电池,20061018
688047,龙芯中科,401000000.0,278414729.0,36414810000.0,25282841540.49,半导体,20220624
002007,华兰生物,1828780926.0,1573586894.0,36411028236.66,31330115059.54,生物制品,20040625
600925,苏能股份,6888888889.0,1606048586.0,36304444445.03,8463876048.219999,煤炭行业,20230329
002602,世纪华通,7452556968.0,6881073473.0,36219426864.48,33442017078.780003,游戏,20110728
000932,华菱钢铁,6908632499.0,6908546583.0,36201234294.76,36200784094.92,钢铁行业,19990803
600871,石化油服,18984340033.0,13569378551.0,36070246062.7,25781819246.899998,采掘行业,19950411
603899,晨光股份,926596570.0,923828420.0,35951946916.0,35844542696.0,家用轻工,20150127
600968,海油发展,10165104199.0,10165104199.0,35577864696.5,35577864696.5,采掘行业,20190626
600096,云天化,1834328747.0,1834328747.0,35420888104.57,35420888104.57,化肥行业,19970709
601108,财通证券,4643739554.0,4643739554.0,35199545819.32,35199545819.32,证券,20171024
601555,东吴证券,4968702837.0,4968702837.0,35079042029.22,35079042029.22,证券,20111212
600956,新天绿能,4187093073.0,2165403424.0,35045969021.009995,18124426658.879997,燃气,20200629
002064,华峰化学,4962543897.0,4951990572.0,35035559912.82,34961053438.32,化纤行业,20060823
688072,拓荆科技,188188255.0,102952673.0,34984196604.5,19138901910.7,半导体,20220420
600566,济川药业,921806660.0,915748160.0,34890382081.0,34661067856.0,中药,20010822
000883,湖北能源,6520949388.0,6479756454.0,34887079225.799995,34666697028.899994,电力行业,19980519
300628,亿联网络,1263815202.0,723019094.0,34818108815.1,19919176039.7,通信设备,20170317
300474,景嘉微,457407301.0,328895212.0,34708065999.88,24956568686.559998,电子元件,20160331
002085,万丰奥威,2123297520.0,2123297520.0,34524817675.200005,34524817675.200005,汽车零部件,20061128
688469,芯联集成-U,7045747150.0,1103966600.0,34524161035.0,5409436340.0,半导体,20230510
002156,通富微电,1516406929.0,1516233639.0,34407273219.01,34403341268.91,半导体,20070816
002180,纳思达,1416410133.0,1309037744.0,34333781623.92,31731074914.559998,计算机设备,20071113
688349,三一重能,1205521015.0,185963500.0,34321183297.05,5294380845.0,风电设备,20220622
002223,鱼跃医疗,1002476929.0,941119766.0,34314785279.67,32214529590.179996,医疗器械,20080418
002603,以岭药业,1670705376.0,1376251728.0,34282874315.52,28240685458.559998,中药,20110728
002456,欧菲光,3257817490.0,3238788401.0,34239661819.899998,34039666094.51,光学光电子,20100803
000027,深圳能源,4757389916.0,4757389916.0,34205633496.04,34205633496.04,电力行业,19930903
000513,丽珠集团,926464448.0,596722497.0,34168008842.24,22007125689.36,化学制药,19931028
601880,辽港股份,23987065816.0,18828349817.0,34061633458.719997,26736256740.14,航运港口,20101206
601236,红塔证券,4716787742.0,4716787742.0,34055207497.239998,34055207497.239998,证券,20190705
601233,桐昆股份,2411119493.0,2272309637.0,33996784851.3,32039565881.7,化纤行业,20110518
002739,万达电影,2179368810.0,2107838695.0,33954566059.8,32840126868.1,文化传媒,20150122
603658,安图生物,586272256.0,586272256.0,33909987287.04,33909987287.04,医疗器械,20160901
603688,石英股份,361277126.0,361277126.0,33649351515.64,33649351515.64,非金属材料,20141031
600460,士兰微,1664071845.0,1416071845.0,33414562647.6,28434722647.6,半导体,20030311
600348,华阳股份,3607500000.0,3607500000.0,33333300000.0,33333300000.0,煤炭行业,20030821
600177,雅戈尔,4628802973.0,4628802973.0,33049653227.219997,33049653227.219997,纺织服装,19981119
300866,安克创新,406427207.0,222994261.0,33022210568.75,18118283706.25,消费电子,20200824
002294,信立泰,1114816535.0,1114565736.0,32887087782.5,32879689212.0,化学制药,20090910
600079,人福医药,1632361067.0,1536290737.0,32745163004.019997,30817992184.219997,化学制药,19970606
002340,格林美,5135586557.0,5086492211.0,32559618771.38,32248360617.739998,能源金属,20100122
002202,金风科技,4225067647.0,3394099179.0,32364018176.02,25998799711.14,风电设备,20071226
002281,光迅科技,794201952.0,755889848.0,32339903485.44,30779834610.559998,通信设备,20090821
600109,国金证券,3724359310.0,3211356772.0,32290195217.7,27842463213.24,证券,19970807
601456,国联证券,2831773168.0,2389133168.0,32253896383.52,27212226783.52,证券,20200731
000066,中国长城,3225799088.0,3146793277.0,32193474898.24,31404996904.460003,计算机设备,19970626
002821,凯莱英,369471533.0,328244953.0,32144023371.0,28557310911.0,医疗服务,20161118
603568,伟明环保,1704648119.0,1694218119.0,32115570561.96,31919069361.96,环保行业,20150528
601866,中远海发,13575938612.0,8234629789.0,32039215124.32,19433726302.039997,航运港口,20071212
002945,华林证券,2700000000.0,2700000000.0,32022000000.0,32022000000.0,证券,20190117
002532,天山铝业,4651885415.0,4130005452.0,32004971655.2,28414437509.76,有色金属,20101231
002444,巨星科技,1202501992.0,1151231588.0,31950477927.44,30588223293.16,通用设备,20100713
600132,重庆啤酒,483971198.0,483971198.0,31917900508.100002,31917900508.100002,酿酒行业,19971030
603156,养元饮品,1265493600.0,1265493600.0,31915748592.0,31915748592.0,食品饮料,20180212
002353,杰瑞股份,1023855833.0,693435365.0,31800962172.98,21538102436.899998,专用设备,20100205
