name,cname,symbol
WisdomTree CBOE Russell 2000 PutWrite Strategy Fund,WisdomTree CBOE Russell 2000 PutWrite Strategy Fund,RPUT
Invivo Therapeutics Holdings Corp.,Invivo Therapeutics Holdings Corp.,NVIV
ProShares UltraShort Consumer Services,ProShares UltraShort Consumer Services,SCC
ELEMENTS Linked to ICE BofAML Commodity Index eXtra Biofuels,ELEMENTS Linked to ICE BofAML Commodity Index eXtra Biofuels,FUE
Sunshine Heart Inc,Sunshine Heart Inc,SSH
"Esports Entertainment Group, Inc.","Esports Entertainment Group, Inc.",GMBL
"Waitr Holdings, Inc.","Waitr Holdings, Inc.",WTRH
"Impel Pharmaceuticals, Inc.","Impel Pharmaceuticals, Inc.",IMPL
Gabelli NextShares,Gabelli NextShares,PETZC
"GRI Bio, Inc.","GRI Bio, Inc.",GRI
"NovaBay Pharmaceuticals, Inc.","NovaBay Pharmaceuticals, Inc.",NBY
"Neptune Wellness Solutions, Inc.","Neptune Wellness Solutions, Inc.",NEPT
Jamf Holding Corp.,Jamf Holding Corp.,JAMF
The Acquirers Fund,The Acquirers Fund,ZIG
AGFiQ US Market Neutral Size Fund,AGFiQ US Market Neutral Size Fund,SIZ
Amira Nature Foods Ltd.,Amira Nature Foods Ltd.,ANFI
ETRACS Monthly Reset 2xLeveraged ISE Exclusively Homebuilders,ETRACS Monthly Reset 2xLeveraged ISE Exclusively Homebuilders,HOML
AgriFORCE Growing Systems Ltd.,AgriFORCE Growing Systems Ltd.,AGRI
"Athersys, Inc.","Athersys, Inc.",ATHX
Adlai Nortye Ltd.,Adlai Nortye Ltd.,ALN
AGFiQ U.S. Market Neutral Value Fund,AGFiQ U.S. Market Neutral Value Fund,CHEP
"PAVmed, Inc.","PAVmed, Inc.",PAVMW
ProShares Ultrapro Short Communication Services Select Sector,ProShares Ultrapro Short Communication Services Select Sector,SCOM
Sprott Physical Silver Trust,Sprott Physical Silver Trust,PSLV
ProShares UltraShort MSCI EAFE,ProShares UltraShort MSCI EAFE,EFU
Gabelli RBI NextShares,Gabelli RBI NextShares,GRBIC
"Nogin, Inc.","Nogin, Inc.",NOGN
"Helbiz, Inc.","Helbiz, Inc.",HLBZ
"TransCode Therapeutics, Inc.","TransCode Therapeutics, Inc.",RNAZ
"Smart for Life, Inc.","Smart for Life, Inc.",SMFL
"BioAmber, Inc.","BioAmber, Inc.",BIOA
"Select Asset, Inc.","Select Asset, Inc.",JBR
"Rand Logistics, Inc.","Rand Logistics, Inc.",RLOG
Technical Communications Corp.,Technical Communications Corp.,TCCO
"Republic First Bancorp, Inc.",共和国第一万通金控,FRBK
DB Commodity Double Long Exchange Traded Notes,DB Commodity Double Long Exchange Traded Notes,DYY
"PAVmed, Inc.","PAVmed, Inc.",PAVMZ
"Bionano Genomics, Inc. Unit","Bionano Genomics, Inc. Unit",BNGOU
DB Base Metals Short Exchange Traded Notes,DB Base Metals Short Exchange Traded Notes,BOS
"HyreCar, Inc.","HyreCar, Inc.",HYRE
Immuron Ltd.,Immuron Ltd.,IMRNW
COMSovereign Holding Corp.,COMSovereign Holding Corp.,COMS
"ADDvantage Technologies Group, Inc.","ADDvantage Technologies Group, Inc.",AEY
ProShares UltraPro Communication Services Select Sector,ProShares UltraPro Communication Services Select Sector,UCOM
ContraFect Corp.,ContraFect Corp.,CFRX
USCF SummerHaven SHPEN Index Fund,USCF SummerHaven SHPEN Index Fund,BUYN
"Bridgewater Bancshares, Inc.","Bridgewater Bancshares, Inc.",BWBBP
Midatech Pharma Plc,Midatech Pharma Plc,MTP
ESGL Holdings Ltd.,ESGL Holdings Ltd.,ESGL
"Harbor Custom Development, Inc.","Harbor Custom Development, Inc.",HCDI
"JRjr33, Inc.","JRjr33, Inc.",JRJR
Phio Pharmaceuticals Corp.,PHIO权证,PHIOW
ProShares UltraShort Communication Services Select Sector,ProShares UltraShort Communication Services Select Sector,YCOM
Direxion Daily Consumer Staples Bear 3x Shares,Direxion Daily Consumer Staples Bear 3x Shares,LACK
"SinglePoint, Inc.","SinglePoint, Inc.",SING
"Sonic Foundry, Inc.","Sonic Foundry, Inc.",SOFO
"Necessity Retail REIT, Inc.","Necessity Retail REIT, Inc.",RTL
"Porch Group, Inc.","Porch Group, Inc.",PTACW
"Nxt-ID, Inc.","Nxt-ID, Inc.",NXTDW
DB Commodity Short Exchange Traded Notes,DB Commodity Short Exchange Traded Notes,DDP
Repay Holdings Corp.,Repay Holdings Corp.,RPAYW
"CorEnergy Infrastructure Trust, Inc.","CorEnergy Infrastructure Trust, Inc.",CORR
Northern Trust Corp.,Northern Trust Corp.,NTRSO
"Acura Pharmaceuticals, Inc.",讴歌制药公司,ACUR
Stable Road Acquisition Corp.,Stable Road Acquisition Corp.,SRACW
"TD Holdings, Inc.",铜道控股,GLG
"EnerJex Resources, Inc.","EnerJex Resources, Inc.",ENRJ
"Esports Entertainment Group, Inc.","Esports Entertainment Group, Inc.",GMBLP
Check-Cap Ltd.,Check-Cap Ltd.,CHEKZ
"Micronet Enertec Technologies, Inc.","Micronet Enertec Technologies, Inc.",MICTW
"Hostess Brands, Inc.","Hostess Brands, Inc.",TWNKW
Axar Acquisition Corp. - Warrants,Axar Acquisition Corp. - Warrants,AXARW
PropTech Acquisition Corp.,PropTech Acquisition Corp.,PTACU
"InterCloud Systems, Inc.","InterCloud Systems, Inc.",ICLDW
"IronNet, Inc.","IronNet, Inc.",IRNT
LIV Capital Acquisition Corp.,LIV Capital Acquisition Corp.,LIVKU
"Schmitt Industries, Inc.","Schmitt Industries, Inc.",SMIT
"Momentus, Inc.","Momentus, Inc.",MNTSW
"Immune Pharmaceuticals, Inc.","Immune Pharmaceuticals, Inc.",IMNP
AGNC Investment Corp.,AGNC Investment Corp.,AGNCO
"Scopus Biopharma, Inc.","Scopus Biopharma, Inc.",SCPS
Delta Technology Holdings Ltd.,Delta Technology Holdings Ltd.,DELTW
"Cryptyde, Inc.","Cryptyde, Inc.",TYDE
"Giga-tronics, Inc.",千兆微波,GIGA
Thunder Bridge Acquisition II Ltd.,Thunder Bridge Acquisition II Ltd.,THBRW
"New York Mortgage Trust, Inc.","New York Mortgage Trust, Inc.",NYMTM
Fifth Third Bancorp,Fifth Third Bancorp,FITBO
"Tempo Automation Holdings, Inc.","Tempo Automation Holdings, Inc.",TMPO
"CuriosityStream, Inc.","CuriosityStream, Inc.",SAQNW
Merida Merger Corp. I,Merida Merger Corp. I,MCMJU
"Vinco Ventures, Inc.","Vinco Ventures, Inc.",BBIG
"Kaspien Holdings, Inc.","Kaspien Holdings, Inc.",KSPN
Eaton Vance Risk Managed Diversified Equity Income Fund,Eaton Vance Risk Managed Diversified Equity Income Fund,ETJ
"micromobility.com, Inc.","micromobility.com, Inc.",MCOM
Unico American Corp.,Unico American Corp.,UNAM
Hainan Sirius Acquisition Corp.,Hainan Sirius Acquisition Corp.,HSACW
"Xenetic Biosciences, Inc.","Xenetic Biosciences, Inc.",XBIOW
AdaptHealth Corp.,AdaptHealth Corp.,AHCOW
Sprott Physical Platinum & Palladium Trust,Sprott Physical Platinum & Palladium Trust,SPPP
"Statera Biopharma, Inc.","Statera Biopharma, Inc.",STAB
Union Acquisition Corp. II,Union Acquisition Corp. II,LATNU
Haymaker Acquisition Corp. III,Haymaker Acquisition Corp. III,HYACW
Stable Road Acquisition Corp.,Stable Road Acquisition Corp.,SRACU
"Peak Bio, Inc.","Peak Bio, Inc.",PKBO
XOMA Corp.,XOMA Corp.,XOMAO
"Xynomic Pharmaceuticals Holdings, Inc.","Xynomic Pharmaceuticals Holdings, Inc.",XYNPW
Amplitude Healthcare Acquisition Corp.,Amplitude Healthcare Acquisition Corp.,AMHCW
"CHS, Inc.","CHS, Inc.",CHSCO
"Fellazo, Inc.","Fellazo, Inc.",FLLCW
"CHS, Inc.","CHS, Inc.",CHSCL
GX Acquisition Corp.,GX Acquisition Corp.,GXGXW
"Audacy, Inc.","Audacy, Inc.",AUD
"Artelo Biosciences, Inc.","Artelo Biosciences, Inc.",ARTLW
"Humanigen, Inc.","Humanigen, Inc.",HGEN
Haymaker Acquisition Corp. III,Haymaker Acquisition Corp. III,HYACU
"CHS, Inc.","CHS, Inc.",CHSCM
Medallion Bank,Medallion Bank,MBNKP
Tuscan Holdings Corp. II,Tuscan Holdings Corp. II,THCAU
Brookfield Property Partners LP,Brookfield Property Partners LP,BPYPO
"iFresh, Inc.","iFresh, Inc.",IFMK
Ready Capital Corp.,Ready Capital Corp.,RCB
"Healthcare Trust, Inc.","Healthcare Trust, Inc.",HTIA
Yangtze River Port & Logistics Ltd.,长江港口物流,YRIV
Merchants Bancorp (Indiana),Merchants Bancorp (Indiana),MBINO
"Allied Healthcare Products, Inc.",联合保健产品,AHPI
"CHS, Inc.","CHS, Inc.",CHSCN
"Kubient, Inc.","Kubient, Inc.",KBNT
"The Alkaline Water Co., Inc.","The Alkaline Water Co., Inc.",WTER
Simplicity Esports & Gaming Co.,Simplicity Esports & Gaming Co.,WINR
Greenland Technologies Holding Corp.,Greenland Technologies Holding Corp.,GTECW
"B. Riley Financial, Inc.","B. Riley Financial, Inc.",RILYP
PIMCO Energy & Tactical Credit Opportunities Fund,PIMCO Energy & Tactical Credit Opportunities Fund,NRGX
Experience Investment Corp.,Experience Investment Corp.,EXPCW
Seanergy Maritime Holdings Corp.,Seanergy A类股权证,SHIPW
"Glori Energy, Inc.","Glori Energy, Inc.",GLRI
Act II Global Acquisition Corp.,Act II Global Acquisition Corp.,ACTTW
Union Acquisition Corp. II,Union Acquisition Corp. II,LATNW
"Ambac Financial Group, Inc.","Ambac Financial Group, Inc.",AMBCW
"Emmaus Life Sciences, Inc.","Emmaus Life Sciences, Inc.",EMMAW
Silver Spike Acquisition Corp.,Silver Spike Acquisition Corp.,SSPKW
DIGIRAD CORP CUM PERPETUAL PFD SER A,DIGIRAD CORP CUM PERPETUAL PFD SER A,DRADP
Orisun Acquisition Corp.,Orisun Acquisition Corp.,ORSNR
Greenvision Acquisition Corp.,Greenvision Acquisition Corp.,GRNVR
Gladstone Commercial Corp.,Gladstone Commercial Corp.,GOODN
"Immunovant, Inc.","Immunovant, Inc.",IMVTU
"Genocea Biosciences, Inc.","Genocea Biosciences, Inc.",GNCA
Greenvision Acquisition Corp.,Greenvision Acquisition Corp.,GRNVW
Zions Bancorporation,Zions Bancorporation,ZIONO
8i Enterprises Acquisition Corp.,8i Enterprises Acquisition Corp.,JFKKW
Watford Holdings Ltd.,Watford Holdings Ltd.,WTREP
Proficient Alpha Acquisition Corp.,Proficient Alpha Acquisition Corp.,PAACR
Ucommune International Ltd.,Ucommune International Ltd.,ORSNW
AGBA Acquisition Ltd.,AGBA Acquisition Ltd.,AGBAR
Akazoo S.A.,Akazoo S.A.,SONGW
"Attis Industries, Inc.","Attis Industries, Inc.",ATISW
New Providence Acquisition Corp.,New Providence Acquisition Corp.,NPAWW
FedNat Holding Co.,FedNat Holding Co.,FNHC
LIV Capital Acquisition Corp.,LIV Capital Acquisition Corp.,LIVKW
"NewtekOne, Inc.","NewtekOne, Inc.",NEWTL
"Youngevity International, Inc.","Youngevity International, Inc.",YGYIP
Merida Merger Corp. I,Merida Merger Corp. I,MCMJW
Safe & Green Development Corp.,Safe & Green Development Corp.,SGDVV
"Global Brokerage, Inc.","Global Brokerage, Inc.",GLBR
Apex Technology Acquisition Corp.,Apex Technology Acquisition Corp.,APXTW
TetraLogic Pharmaceuticals Corp.,TetraLogic Pharmaceuticals Corp.,TLOG
"Immunovant, Inc.","Immunovant, Inc.",IMVTW
"Viveve Medical, Inc.","Viveve Medical, Inc.",VIVE
Churchill Capital Corp. II,Churchill Capital Corp. II,CCX
Zions Bancorporation,Zions Bancorporation,ZIONP
Willscot Corp.,Willscot Corp.,WSCWW
"Fellazo, Inc.","Fellazo, Inc.",FLLCR
"Allied Gaming & Entertainment, Inc.","Allied Gaming & Entertainment, Inc.",AESEW
8i Enterprises Acquisition Corp.,8i Enterprises Acquisition Corp.,JFKKR
"DermTech, Inc.","DermTech, Inc.",DMTKW
"Shift Technologies, Inc.","Shift Technologies, Inc.",INSUW
"iSun, Inc.","iSun, Inc.",PECKW
AGBA Acquisition Ltd.,AGBA Acquisition Ltd.,AGBAU
"InterCloud Systems, Inc.","InterCloud Systems, Inc.",ICLD
"US Ecology, Inc.","US Ecology, Inc.",ECOLW
"Soleno Therapeutics, Inc.","Soleno Therapeutics, Inc.",SLNOW
Oxbridge Re Holdings Ltd.,Oxbridge Re Holdings Ltd.,OXBRW
Finserv Acquisition Corp.,Finserv Acquisition Corp.,FSRVW
"Nuance Communications, Inc.","Nuance Communications, Inc.",NUANV
Diversified Healthcare Trust,Diversified Healthcare Trust,DHCNL
AGBA Group Holding Ltd.,AGBA Group Holding Ltd.,AGBAW
Longfin Corp.,Longfin Corp.,LFIN
"Renovare Environmental, Inc.","Renovare Environmental, Inc.",RENO
"EVmo, Inc.","EVmo, Inc.",YAYO
"Anthera Pharmaceuticals, Inc.",Anthera制药,ANTH
"BioCardia, Inc.","BioCardia, Inc.",BCDAW
"The Greenrose Holding Co., Inc.","The Greenrose Holding Co., Inc.",GNRS
"NeuroMetrix, Inc.","NeuroMetrix, Inc.",NUROW
"Kingold Jewelry, Inc.",金凰珠宝股份有限公司,KGJI
"Gryphon Digital Mining, Inc.","Gryphon Digital Mining, Inc.",KERNW
"iPic Entertainment, Inc.","iPic Entertainment, Inc.",IPIC
BANL,CBL International Limited,2022-12-09
Armada Acquisition Corp. I,Armada Acquisition Corp. I,AACIU
Armada Acquisition Corp. I,Armada Acquisition Corp. I,AACIW
"Artius Acquisition, Inc.","Artius Acquisition, Inc.",AACQW
"African Agriculture Holdings, Inc.","African Agriculture Holdings, Inc.",AAGRW
Arlington Asset Investment Corp.,Arlington Asset Investment Corp.,AAIN
Direxion Daily AAPL Bear 1X Shares,Direxion Daily AAPL Bear 1X Shares,AAPD
Direxion Daily AAPL Bull 15X Shares,Direxion Daily AAPL Bull 15X Shares,AAPU
AAZST,AAZST,AAZST
"Abacus Life, Inc.","Abacus Life, Inc.",ABLLL
"Abacus Life, Inc.","Abacus Life, Inc.",ABLLW
"Able View Global, Inc.","Able View Global, Inc.",ABLVW
"Arbor Realty Trust, Inc.","Arbor Realty Trust, Inc.",ABRN
ABRN.L,ABRN.L,ABRN.L
Autobytel Inc,Autobytel Inc,ABTL
"Abits Group, Inc.","Abits Group, Inc.",ABTS
Atlantic Coastal Acquisition Corp. II,Atlantic Coastal Acquisition Corp. II,ACABU
Atlantic Coastal Acquisition Corp. II,Atlantic Coastal Acquisition Corp. II,ACABW
Acri Capital Acquisition Corp.,Acri Capital Acquisition Corp.,ACACW
Atlantic Coastal Acquisition Corp.,Atlantic Coastal Acquisition Corp.,ACAHW
"CarLotz, Inc.","CarLotz, Inc.",ACAMW
Alset Capital Acquisition Corp.,Alset Capital Acquisition Corp.,ACAXR
Alset Capital Acquisition Corp.,Alset Capital Acquisition Corp.,ACAXU
Alset Capital Acquisition Corp.,Alset Capital Acquisition Corp.,ACAXW
